stock,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
ACGL,2020-03-31,2020-05-04,0.46,0.44,0.02,4.5455
ACGL,2019-12-31,2020-02-11,0.74,0.68,0.06,8.8235
ACN,2025-05-31,2025-06-20,3.49,3.32,0.17,5.1205
ACN,2025-02-28,2025-03-20,2.82,2.81,0.01,0.3559
ACN,2024-11-30,2024-12-19,3.59,3.42,0.17,4.9708
ACN,2024-08-31,2024-09-26,2.79,2.77,0.02,0.722
ACN,2024-05-31,2024-06-20,3.13,3.16,-0.03,-0.9494
ACN,2024-02-29,2024-03-21,2.77,2.66,0.11,4.1353
ACN,2023-11-30,2023-12-19,3.27,3.13,0.14,4.4728
ACN,2023-08-31,2023-09-28,2.71,2.63,0.08,3.0418
ACN,2023-05-31,2023-06-22,3.15,3,0.15,5
ACN,2023-02-28,2023-03-23,2.39,2.5,-0.11,-4.4
ACN,2022-11-30,2022-12-16,3.08,2.93,0.15,5.1195
ACN,2022-08-31,2022-09-22,2.6,2.57,0.03,1.1673
ACN,2022-05-31,2022-06-23,2.9,2.83,0.07,2.4735
ACN,2022-02-28,2022-03-17,2.54,2.37,0.17,7.173
ACN,2021-11-30,2021-12-16,2.78,2.63,0.15,5.7034
ACN,2021-08-31,2021-09-23,2.2,2.19,0.01,0.4566
ACN,2021-05-31,2021-06-24,2.4,2.24,0.16,7.1429
ACN,2021-02-28,2021-03-18,2.03,1.9,0.13,6.8421
ACN,2020-11-30,2020-12-17,2.17,2.05,0.12,5.8537
ACN,2020-08-31,2020-09-24,1.7,1.73,-0.03,-1.7341
ACN,2020-05-31,2020-06-25,1.9,1.84,0.06,3.2609
ACN,2020-02-29,2020-03-19,1.91,1.73,0.18,10.4046
ADBE,2025-05-31,2025-06-12,5.06,4.97,0.09,1.8109
ADBE,2025-02-28,2025-03-12,5.08,4.97,0.11,2.2133
ADBE,2024-11-30,2024-12-11,4.81,4.67,0.14,2.9979
ADBE,2024-08-31,2024-09-12,4.65,4.54,0.11,2.4229
ADBE,2024-05-31,2024-06-13,4.48,4.4,0.08,1.8182
ADBE,2024-02-29,2024-03-14,4.48,4.38,0.1,2.2831
ADBE,2023-11-30,2023-12-13,4.27,4.14,0.13,3.1401
ADBE,2023-08-31,2023-09-14,4.1,3.98,0.12,3.0151
ADBE,2023-05-31,2023-06-15,3.91,3.79,0.12,3.1662
ADBE,2023-02-28,2023-03-15,2.71,2.65,0.06,2.2642
ADBE,2022-11-30,2022-12-15,3.6,3.5,0.1,2.8571
ADBE,2022-08-31,2022-09-15,3.4,3.34,0.06,1.7964
ADBE,2022-05-31,2022-06-16,3.35,3.31,0.04,1.2085
ADBE,2022-02-28,2022-03-22,3.37,3.34,0.03,0.8982
ADBE,2021-11-30,2021-12-16,3.2,3.2,0,0
ADBE,2021-08-31,2021-09-21,3.11,3.02,0.09,2.9801
ADBE,2021-05-31,2021-06-17,3.03,2.82,0.21,7.4468
ADBE,2021-02-28,2021-03-23,3.14,2.79,0.35,12.5448
ADBE,2020-11-30,2020-12-10,2.81,2.66,0.15,5.6391
ADBE,2020-08-31,2020-09-15,2.57,2.41,0.16,6.639
ADBE,2020-05-31,2020-06-11,2.45,2.32,0.13,5.6034
ADBE,2020-02-29,2020-03-12,2.27,2.23,0.04,1.7937
ADI,2025-04-30,2025-05-22,1.85,1.7,0.15,8.8235
ADI,2025-01-31,2025-02-19,0.78,0.8,-0.02,-2.5
ADI,2024-10-31,2024-11-26,1.67,1.64,0.03,1.8293
ADI,2024-07-31,2024-08-21,1.58,1.51,0.07,4.6358
ADI,2024-04-30,2024-05-22,1.4,1.27,0.13,10.2362
ADI,2024-01-31,2024-02-21,1.73,1.71,0.02,1.1696
ADI,2023-10-31,2023-11-21,2.01,2.02,-0.01,-0.495
ADI,2023-07-31,2023-08-23,2.49,2.52,-0.03,-1.1905
ADI,2023-04-30,2023-05-24,2.83,2.76,0.07,2.5362
ADI,2023-01-31,2023-02-15,2.75,2.6,0.15,5.7692
ADI,2022-10-31,2022-11-22,2.73,2.59,0.14,5.4054
ADI,2022-07-31,2022-08-17,2.52,2.43,0.09,3.7037
ADI,2022-04-30,2022-05-18,2.4,2.11,0.29,13.7441
ADI,2022-01-31,2022-02-16,1.94,1.79,0.15,8.3799
ADI,2021-10-31,2021-11-23,1.73,1.7,0.03,1.7647
ADI,2021-07-31,2021-08-18,1.72,1.61,0.11,6.8323
ADI,2021-04-30,2021-05-19,1.54,1.45,0.09,6.2069
ADI,2021-01-31,2021-02-17,1.44,1.32,0.12,9.0909
ADI,2020-10-31,2020-11-24,1.44,1.33,0.11,8.2707
ADI,2020-07-31,2020-08-19,1.36,1.29,0.07,5.4264
ADI,2020-04-30,2020-05-20,1.08,1.04,0.04,3.8462
ADI,2020-01-31,2020-02-19,1.03,1,0.03,3
ADM,2025-03-31,2025-05-06,0.7,0.67,0.03,4.4776
ADM,2024-12-31,2025-02-04,1.14,1.15,-0.01,-0.8696
ADM,2024-09-30,2024-11-18,1.09,1.09,0,0
ADM,2024-06-30,2024-07-30,1.03,1.22,-0.19,-15.5738
ADM,2024-03-31,2024-04-30,1.46,1.36,0.1,7.3529
ADM,2023-12-31,2024-03-12,1.36,1.43,-0.07,-4.8951
ADM,2023-09-30,2023-10-24,1.63,1.52,0.11,7.2368
ADM,2023-06-30,2023-07-25,1.89,1.6,0.29,18.125
